strain,replicate,n.colonies
REL606,1,0
REL606,2,0
REL606,3,0
REL606,4,1
REL606,5,0
REL606,6,0
REL606,7,0
REL606,8,0
REL606,9,0
REL606,10,0
REL606,11,0
REL606,12,0
REL606,13,0
REL606,14,0
REL606,15,0
REL606,16,1
REL606,17,1
REL606,18,0
REL606,19,0
REL606,20,0
REL606,21,1
REL606,22,0
REL606,23,1
REL606,24,0
REL606,25,0
REL606,26,1
REL606,27,0
REL606,28,0
REL606,29,0
REL606,30,0
REL606,31,0
REL606,32,0
REL606,33,0
REL606,34,0
REL606,35,0
REL606,36,0
REL606,37,1
REL606,38,0
REL606,39,0
REL606,40,0
REL606,41,0
REL606,42,0
REL606,43,0
REL606,44,1
REL606,45,0
REL606,46,0
REL606,47,0
REL606,48,0
REL606,49,0
REL606,50,1
REL606,51,0
REL606,52,0
REL606,53,0
REL606,54,0
REL606,55,0
REL606,56,0
REL606,57,0
REL606,58,0
REL606,59,0
REL606,60,0
REL606,61,0
REL606,62,1
REL606,63,0
REL606,64,0
REL606,65,0
REL606,66,0
REL606,67,0
REL606,68,0
REL606,69,0
REL606,70,0
REL606,71,0
REL606,72,1
REL606,73,0
REL606,74,0
REL606,75,0
REL606,76,0
REL606,77,0
REL606,78,0
REL606,79,0
REL606,80,0
REL606,81,0
REL606,82,0
REL606,83,0
REL606,84,0
REL1162A,1,1
REL1162A,2,1
REL1162A,3,10
REL1162A,4,2
REL1162A,5,2
REL1162A,6,1
REL1162A,7,0
REL1162A,8,0
REL1162A,9,0
REL1162A,10,0
REL1162A,11,6
REL1162A,12,0
REL1162A,13,0
REL1162A,14,12
REL1162A,15,9
REL1162A,16,0
REL1162A,17,11
REL1162A,18,0
REL1162A,19,0
REL1162A,20,2
REL1162A,21,0
REL1162A,22,0
REL1162A,23,1
REL1162A,24,0
REL1162A,25,0
REL1162A,26,0
REL1162A,27,1
REL1162A,28,1
REL1162A,29,3
REL1162A,30,36
REL1162A,31,0
REL1162A,32,0
REL1162A,33,0
REL1162A,34,0
REL1162A,35,0
REL1162A,36,0
REL1162A,37,0
REL1162A,38,0
REL1162A,39,0
REL1162A,40,3
REL1162A,41,1
REL1162A,42,0
REL1162A,43,0
REL1162A,44,0
REL1162A,45,0
REL1162A,46,0
REL1162A,47,0
REL1162A,48,0
REL1162A,49,0
REL1162A,50,0
REL1162A,51,0
REL1162A,52,0
REL1162A,53,0
REL1162A,54,1
REL1162A,55,0
REL1162A,56,0
REL1162A,57,0
REL1162A,58,0
REL1162A,59,0
REL1162A,60,3
REL1162A,61,0
REL1162A,62,1
REL1162A,63,0
REL1162A,64,0
REL1162A,65,0
REL1162A,66,0
REL1162A,67,0
REL1162A,68,0
REL1162A,69,1
REL1162A,70,0
REL1162A,71,0
REL1162A,72,1
REL1162A,73,0
REL1162A,74,0
REL1162A,75,0
REL1162A,76,0
REL1162A,77,4
REL1162A,78,0
REL1162A,79,0
REL1162A,80,0
REL1162A,81,0
REL1162A,82,1
REL1162A,83,0
REL1162A,84,26
